codes RNSR	Adresse	Provenance
199612295L	Univ Nantes, CNRS IN2P3, Ecole Mines Nantes, SUBATECH, F-44307 Nantes, France	CNRS
199612295L	Univ Nantes, CNRS, IN2P3, Lab SUBATECH,UMR 6457,Ecole Mines Nantes, F-44307 Nantes 03, France	CNRS
199612295L	EMN, CNRS, IN2P3, Subatech, F-44307 Nantes, France	CNRS
199612295L	Univ Nantes, Ecole Mines Nantes, SUBATECH, CNRS IN2P3, F-44307 Nantes, France	CNRS
199612295L	Univ Nantes, Subatech, EMN CNRS IN2P3, F-44307 Nantes, France	CNRS
199612295L	PRES UNAM, Ecole Mines Nantes, UMR CNRS IN2P3 6457, Lab SUBATECH, F-44307 Nantes, France	CNRS
199612295L	Univ Nantes, Ecole Mines Nantes, SUBATECH, CNRS IN2P3, Nantes, France	CNRS
199612295L	Univ Ecole Mines, CNRS, IN2P3, UMR,Lab Subatech, Nantes 44, France	CNRS
199612295L	Univ Nantes, CNRS, IN2P3, Ecole Mines Nantes,SUBATECH, F-44035 Nantes, France	CNRS
199612295L	Univ Nantes, SUBATECH, Ecole Mines Nantes, CNRS,IN2P3, F-44035 Nantes, France	CNRS
199612295L	Univ Nantes, Ecole Mines Nantes, CNRS IN2P3, SUBATECH, F-44307 Nantes, France	CNRS
199612295L	Univ Nantes, CNRS, EMN IN2P3, SUBATECH, Nantes, France	CNRS
199612295L	Univ Nantes, Ecole Mines Nantes, CNRS, IN2P3,SUBATECH, Nantes, France	CNRS
199612295L	Univ Nantes, Ecole Mines Nantes, SUBATECH, CNRS,IN2P3, F-44307 Nantes, France	CNRS
199612295L	Univ Nantes, CNRS IN2P3, Ecole Mines Nantes, SUBATECH, F-44035 Nantes, France	CNRS
199612295L	Univ Nantes, SUBATECH, CNRS IN2P3, Ecole Mines Nantes, F-44307 Nantes 3, France	CNRS
199612295L	Univ Nantes, Ecole Mines Nantes, IN2P3, CNRS,SUBATECH,UMR 6457, F-44307 Nantes 3, France	CNRS
199612295L	Univ Nantes, Ecole Mines Nantes, CNRS IN2P3, Subatech,UMR 6457, F-44307 Nantes, France	CNRS
199612295L	Univ Nantes, EMN Nantes, IN2P3, SUBATECH,UMR CNRS 6457, F-44307 Nantes 3, France	CNRS
199612295L	Univ Nantes, IN2P3, CNRS, Ecole Mines Nantes,SUBATECH, Nantes, France	CNRS
199612295L	Univ Nantes, Ecole Mines Nantes, CNRS, IN2P3,Lab SUBATECH,UMR 6457, F-44307 Nantes, France	CNRS
199612295L	Univ Nantes, Ecole Mines Nantes, CNRS IN2P3, Subatech,UMR 6457, F-44307 Nantes 3, France	CNRS
199612295L	Univ Nantes, Ecole Mines Nantes, CNRS, Subatech,UMR 6457,IN2P3, F-44307 Nantes 3, France	CNRS
199612295L	Univ Nantes, Ecole Mines Nantes, CNRS, SUBATECH,IN2P3, Nantes, France	CNRS
199612295L	Univ Nantes, Ecole Mines Nantes, CNRS, IN2P3,SUBATECH,UMR 6457, F-44307 Nantes 3, France	CNRS
199612295L	Univ Nantes, CNRS, IN2P3, SUBATECH,Ecole Mines Nantes, F-44307 Nantes 3, France	CNRS
199612295L	EMN Univ, CNRS IN2P3, SUBATECH Lab, F-44307 Nantes, France	CNRS
199612295L	Univ Nantes, IN2P3, CNRS, Ecole Mines Nantes,SUBATECH,UMR 6457, F-44307 Nantes 3, France	CNRS
199612295L	Univ Nantes, CNRS, IN2P3, SUBATECH Ecole Mines Nantes, Nantes, France	CNRS
199612297N	Univ Nantes, CNRS, UMR 6502, Inst Mat Jean Rouxel IMN, F-44322 Nantes 3, France	CNRS
199612297N	Univ Nantes, Inst Mat Jean Rouxel, CNRS, UMR 6502, F-44322 Nantes 3, France	CNRS
199612297N	Univ Nantes, CNRS, UMR6502, Inst Mat Jean Rouxel IMN, F-44322 Nantes, France	CNRS
199612297N	Univ Nantes, Inst Mat Jean Rouxel IMN, UMR 6502, CNRS, F-44322 Nantes 3, France	CNRS
199612297N	Univ Nantes, CNRS, Inst Mat Jean Rouxel, UMR 6502, F-44322 Nantes 3, France	CNRS
199612297N	Univ Nantes, CNRS, UMR 6502, Inst Mat Jean Rouxel IMN, F-44035 Nantes, France	CNRS
199612297N	Univ Nantes, CNRS, Inst Mat Jean Rouxel, UMR 6502, F-44322 Nantes, France	CNRS
199612297N	Inst Mat Nantes CNRS, UMR 6502, F-44322 Nantes 3, France	CNRS
199612297N	Univ Nantes, CNRS, Inst Mat Jean Rouxel IMN, F-44322 Nantes, France	CNRS
199612297N	Univ Nantes CNRS, Inst Mat Jean Rouxel, UMR 6502, F-44340 Nantes, France	CNRS
199612297N	Univ Nantes, IMN, UMR 6502, CNRS, F-44322 Nantes, France	CNRS
199612297N	Univ Nantes, Inst Mat Jean Rouxel IMN, CNRS 2, F-44322 Nantes 03, France	CNRS
199612297N	Univ Nantes, CNRS, UMR 6502, Inst Mat Jean Rouxel, F-44322 Nantes, France	CNRS
199612297N	Univ Nantes, CNRS, Inst Mat Jean Rouxel IMN, UMR 6502, F-44322 Nantes 3, France	CNRS
199612297N	Univ Nantes, UMR 6502, CNRS, Inst Mat Jean Rouxel,IMN, F-44322 Nantes, France	CNRS
199612297N	Univ Nantes, CNRS, Inst Mat Jean Rouxel IMN, F-44322 Nantes 3, France	CNRS
199612297N	Univ Nantes, CNRS, Inst Mat Jean Rouxel IMN, F-44322 Nantes 03, France	CNRS
199612297N	Univ Nantes, CNRS UMR 6502, Inst Mat Jean Rouxel, Nantes, France	CNRS
199612297N	Univ Nantes, CNRS, UMR 6502, Inst Mat Jean Rouxel, F-44322 Nantes 3, France	CNRS
199612297N	Univ Nantes, IMN UMR CNRS 6502, F-44322 Nantes, France	CNRS
199612297N	Inst Mat Jean Rouxel IMN, UMR CNRS 6502, F-44322 Nantes 3, France	CNRS
199612297N	Univ Nantes, IMN, CNRS, F-44322 Nantes, France	CNRS
199612297N	Univ Nantes, CNRS, UMR 6205, Inst Jean Materiux Rousel IMN, F-44322 Nantes 3, France	CNRS
199612297N	Univ Nantes, Inst Mat Jean Rouxel IMN, CNRS, F-44322 Nantes 3, France	CNRS
199612297N	Univ Nantes, Inst Mat Nantes Jean Rouxel, CNRS, UMR 6502, Nantes, France	CNRS
199612297N	CNRS Univ Nantes, Inst Materiaux Jean Rouxel IMN, F-44322 Nantes, France	CNRS
199612297N	Univ Nantes, UMR CNRS 6502, Inst Mat Jean Rouxel IMN, F-44322 Nantes 3, France	CNRS
199612297N	Univ Nantes, CNRS, Inst Mat Jean Rouxel IMN, F-44306 Nantes 3, France	CNRS
199612297N	Univ Nantes, CNRS UMR 6502, Inst Mat Jean Rouxel IMN, F-44322 Nantes 3, France	CNRS
199612297N	Univ Nantes, Inst Mat Jean Rouxel CNRS UMR 6502, F-44322 Nantes 3, France	CNRS
199612297N	Univ Nantes, CNRS, UMR 6502, IMN JR, F-44322 Nantes 3, France	CNRS
199612297N	Univ Nantes, CNRS, Inst Mat Jean Rouxel IMN, Nantes, France	CNRS
199612297N	Univ Nantes, CNRS, Inst Mat Jean Rouxel, UMR 6502, Nantes 3, France	CNRS
199612297N	Univ Nantes, Inst Materiaux Jean Rouxel IMN, UMR CNRS 6502, BP32229, F-44322 Nantes 3, France	CNRS
199612297N	Inst Mat Nantes IMN, UMR CNRS 6502, F-44322 Nantes 3, France	CNRS
199612297N	Univ Nantes, IMN, UMR CNRS 6502, F-44322 Nantes, France	CNRS
199612301T	Univ Caen, CNRS, ENSICAEN, LCS, F-14050 Caen, France	CNRS
199612301T	Univ Caen, ENSICAEN, LCS, CNRS, F-14050 Caen, France	CNRS
199612301T	Univ Caen, LCS, CNRS, ENSICAEN, F-14050 Caen, France	CNRS
199612302U	Univ Caen, LCMT, ENSICAEN, CNRS,UMR 6507,INC3M,FR 3038, F-14050 Caen, France	CNRS
199612303V	ENSICAEN, Lab CRISMAT, UMR CNRS 6508, F-14050 Caen, France	CNRS
199612303V	Univ Caen Basse Normandie, ENSICAEN, CRISMAT, UMR CNRS 6508, F-14050 Caen, France	CNRS
199612303V	ENSICAEN, CRISMAT, CNRS UMR 6508, F-14050 Caen 4, France	CNRS
199612303V	Univ Caen, CNRS, ENSICAEN, CRISMAT, F-14050 Caen, France	CNRS
199612303V	Univ Caen Basse Normandie, CNRS, CRISMAT, UMR 6508,ENSICAEN,LUSAC, F-14050 Caen 04, France	CNRS
199612303V	ENSICAEN, CRISMAT, UMR 6508, CNRS, F-14050 Caen, France	CNRS
199612303V	ENSICAEN, CNRS UMR 6508, Lab CRISMAT, F-14050 Caen 4, France	CNRS
199612303V	ENSICaen, UMR CNRS 6508, CRISMAT, F-14050 Caen, France	CNRS
199612303V	UMR CNRS ENSICAEN ISMRA 6508, Lab CRISMAT, F-14050 Caen, France	CNRS
199612303V	Univ Basse Normandie, ENSICAEN, CNRS UMR 6508, Lab CRISMAT, F-14050 Caen 4, France	CNRS
199612313F	Univ Brest, CNRS, UMR 6521, F-29200 Brest, France	CNRS
199612313F	Univ Europeenne Bretagne, Univ Brest, CEMCA, CNRS UMR 6521, F-29238 Brest, France	CNRS
199612313F	Univ Bretagne Occidentale, CNRS, UMR 6521, F-29238 Brest, France	CNRS
199612313F	Univ Brest, Univ Europeenne Bretagne, SFR ScInBioS, CEMCA,CNRS,UMR 6521, Brest, France	CNRS
199612313F	Univ Bretagne Occidentale, CNRS, UMR 6521, Brest, France	CNRS
199612313F	Univ Brest, UEB, CEMCA, CNRS UMR 6521 SFR ScInBIoS 148, F-29238 Brest, France	CNRS
199612326V	UBO I UEM, CNRS UMR 6538, F-29280 Plouzane, France	CNRS
199612326V	CNRS UMR 6538, IUEM, Lab Domaines Ocean, F-29280 Plouzane, France	CNRS
199612326V	Univ Bretagne Occidentale, CNRS UMR 6538, Inst Uniyersitaire Europeen Mer, Lab Domaines Ocean, F-29280 Plouzane, France	CNRS
199612326V	Inst Univ Europeen Mer, CNRS UMR 6538, F-29280 Plouzane, France	CNRS
199612326V	Univ Brest, CNRS, Lab Domaines Ocean, UMR 6538, F-29280 Plouzane, France	CNRS
199612326V	Univ Bretagne Occidentale, Inst Univ Europeen Mer, CNRS, UMR 6538, F-29280 Plouzane, France	CNRS
199612326V	CNRS, UMR 6538, F-29280 Plouzane, France	CNRS
199612326V	IUEM, CNRS, Domaines Ocean, UMR 6538, F-29280 Plouzane, France	CNRS
199612326V	CNRS, UBO, IUEM, UMR 6538, F-29280 Plouzane, France	CNRS
199612326V	Univ Bretagne Occidentale, CNRS, IUEM, UMR 6538, Plouzane, France	CNRS
199612339J	Univ Rennes 1, CNRS, UMR 6553, ECOBIO, Rennes, France	CNRS
199612339J	Univ Rennes 1, CNRS, UMR Ecobio 6553, F-35042 Rennes, France	CNRS
199612339J	Univ Rennes 1, CNRS, UMR EcoBio 6353, F-35014 Rennes, France	CNRS
199612339J	Univ Rennes 1, UMR CNRS 6553, Lab Ecobio, FR-35042 Rennes, France	CNRS
199612339J	Univ Rennes 1, CNRS, UMR 6553, F-35042 Rennes, France	CNRS
199612339J	Univ Rennes 1, CNRS, UMR ECOBIO Ecosyst 6553, F-35042 Rennes, France	CNRS
199612339J	Univ Rennes 1, CNRS, Ecobio UMR 6553, Stn Biol, F-35380 Paimpont, France	CNRS
199612339J	Univ Rennes 1, CNRS UMR 6553, Stn Biol, F-35380 Paimpont, France	CNRS
199612339J	CNRS, ECOBIO UMR 6553, F-35042 Rennes, France	CNRS
199612339J	Univ Rennes 1, UMR CNRS EcoBio 6553, F-35042 Rennes, France	CNRS
199612339J	Univ Rennes 1, Stn Biol Paimpont, UMR CNRS EcoBio 6553, Paimpont, France	CNRS
199612339J	Univ Rennes 1, CNRS UMR ECOBIO 6553, F-35042 Rennes, France	CNRS
199612339J	Univ Rennes 1, CNRS, UMR 6553, ECOBIO Ecosyst, F-35380 Paimpont, France	CNRS
199612339J	Univ Rennes 1, CNRS, UMR 6553, ECOBIO Ecosyst, Rennes, France	CNRS
199612339J	Univ Rennes 1, CNRS UMR Ecobio 6553, Biol Stn, F-35380 Paimpont, France	CNRS
199612339J	Univ Rennes 1, Natl Ctr Sci Res CNRS, UMR CNRS EcoBio 6553, Rennes, France	CNRS
199612339J	Univ Rennes 1, CNRS EcoBio UMR6553, F-35380 Paimpont, France	CNRS
199612339J	Univ Rennes 1, Biol Stn, UMR CNRS ECOBIO 6553, F-35380 Paimpont, France	CNRS
199612339J	Univ Rennes 1, CNRS UMR 6553, F-35014 Rennes, France	CNRS
199612339J	Univ Rennes 1, CNRS, ECOBIO, Stn Biol,UMR 6553, F-35380 Paimpont, France	CNRS
199612339J	Univ Rennes 1, CNRS, ECOBIO Ecosyst Biodivers Evolut, Biol Stn Paimpont,UMR 6553, F-35380 Paimpont, France	CNRS
199612339J	Univ Rennes 1, CNRS, ECOBIO Ecosyst Biodivers Evolut, UMR 6553, Rennes, France	CNRS
199612339J	Univ Rennes 1, CNRS, ECOBIO Ecosyst, Biol Stn Paimpont,UMR 6553, F-35380 Paimpont, France	CNRS
199612339J	Univ Rennes 1, CNRS, ECOBIO Ecosyst, UMR 6553, F-35380 Paimpont, France	CNRS
199612339J	Univ Rennes 1, UMR CNRS EcoBio 6553, Stn Biol, F-35380 Paimpont, France	CNRS
199612339J	CNRS, UMR 6553, F-35043 Rennes, France	CNRS
199612339J	Univ Rennes 1, CNRS EcoBio UMR6553, Rennes, France	CNRS
199612339J	Univ Rennes 1, ECOBIO UMR CNRS 6553, F-35042 Rennes, France	CNRS
199612339J	Univ Rennes 1, CNRS, UMR Ecobio 6553, Rennes, France	CNRS
199612339J	Univ Rennes 1, CNRS, Res Unit UMR 6553, F-35042 Rennes, France	CNRS
199612339J	Univ Rennes 1, Stn Biol Paimpont, ECOBIO, CNRS,UMR 6553, Paimpont, France	CNRS
199612339J	Univ Rennes 1, UMR CNRS EcoBio 6553, Paimpont, France	CNRS
199612339J	Univ Rennes 1, CNRS, IFR CAREN, UMR EcoBio 6553, Paimpont, France	CNRS
199612339J	Univ Rennes 1, CNRS, EcoBio UMR 6553, F-35380 Paimpont, France	CNRS
199612339J	Univ Rennes 1, CNRS, ECOBIO, UMR 6553, Rennes, France	CNRS
199612339J	Univ Rennes 1, CNRS, UMR 6553, F-35380 Paimpont, France	CNRS
199612339J	Univ Rennes 1 UEB, UMR CNRS ECOBIO 6553, Observ Sci Universe Rennes, F-35042 Rennes, France	CNRS
199612340K	Univ Nantes, LETG, CNRS, UMR 6554, Nantes, France	CNRS
199612340K	Univ Nantes, CNRS, Lab Geolittomer, LETG,UMR 6554, F-44035 Nantes, France	CNRS
199612340K	Univ Nantes, Univ Nantes LETG Geolittomer Nantes UMR CNRS 6654, F-44312 Nantes 3, France	CNRS
199612374X	Ecole Cent Nantes, LHEEA, CNRS UMR 6598, F-44321 Nantes 3, France	CNRS
199612374X	LUNAM Univ, Ecole Cent Nantes, LHEEA Lab, CNRS,UMR6598, Nantes, France	CNRS
199612374X	Ecole Cent Nantes, LHEEA Lab, UMR CNRS, Nantes, France	CNRS
199612374X	LUNAM Univ, Ecole Cent Nantes, LHEEA UMR CNRS 6598, F-44321 Nantes 03, France	CNRS
199612374X	CNRS, Cent Nantes, LHEEA, UMR6598, F-44321 Nantes 3, France	CNRS
199612380D	LUNAM Univ, Lab Thermocinet Nantes, CNRS, UMR 6607, F-44306 Nantes, France	CNRS
199612380D	CNRS, Polytech Nantes, Lab Thermocinet, UMR 6607, F-44306 Nantes, France	CNRS
199612380D	LUNAM Univ, Lab Thermocinet Nantes, CNRS UMR 6607, F-44306 Nantes, France	CNRS
199612396W	UMR 6625 CNRS, IRMAR, F-35042 Rennes, France	CNRS
199612396W	Univ Rennes 1, ENS Rennes, IRMAR, CNRS,UEB, F-35170 Bruz, France	CNRS
199612396W	Univ Europeenne Bretagne, Univ Rennes 1, IRMAR, CNRS,UMR 6625, F-35042 Rennes, France	CNRS
199612396W	Univ Rennes 1, CNRS, IRMAR, UMR 6625, F-35042 Rennes, France	CNRS
199612396W	IRMAR, CNRS, UMR 6625, F-35000 Rennes, France	CNRS
199612396W	Univ Rennes 1, CNRS, UMR 6625, Inst Rech Math Rennes IRMAR, F-35042 Rennes, France	CNRS
199612396W	Univ Rennes 1, CNRS, IRMAR UMR6625, F-35042 Rennes, France	CNRS
199612396W	Univ Rennes 2, Inst Rech Mathemat Rennes, CNRS, UMR 6625, F-35043 Rennes, France	CNRS
199612396W	INSA IRMAR, UMR CNRS 6625, Rennes, France	CNRS
199612396W	Univ Rennes 1, CNRS UMR 6625, F-35042 Rennes, France	CNRS
199612396W	Univ Rennes 1, IRMAR, CNRS, F-35042 Rennes, France	CNRS
199612396W	CNRS, Inst Rech Math Rennes IRMAR, UMR 6625, F-35042 Rennes, France	CNRS
199612396W	Univ Rennes 1, UMR CNRS 6625, IRMAR, F-35042 Rennes, France	CNRS
199612396W	CNRS, IRMAR UMR 6625, F-35708 Rennes, France	CNRS
199612396W	Univ Rennes 1, CNRS, UMR 6625, Inst Rech Math Rennes IRMAR, Rennes, France	CNRS
199612396W	CNRS, Inst Rech Mathemat Rennes, IRMAR, UMR CNRS 6625, Paris, France	CNRS
199612396W	UEB, CNRS, IRMAR, Ecole Normale Super Rennes,INRIA Rennes, F-35170 Bruz, France	CNRS
199612396W	CNRS, IRMAR, UMR 6625, Rennes, France	CNRS
199612396W	Univ Rennes 1, CNRS, UMR 6625, IRMAR, F-35042 Rennes, France	CNRS
199612396W	Univ Rennes 1, IRMAR, CNRS, UMR 6625, F-35042 Rennes, France	CNRS
199612396W	CNRS, IRMAR, Agrocampus Ouest, UMR6625, F-35000 Rennes, France	CNRS
199612396W	Univ Rennes 1, CNRS UMR 6625, IRMAR, F-35042 Rennes, France	CNRS
199612396W	Univ Rennes 1, IRMAR URA CNRS 305, F-35042 Rennes, France	CNRS
199612396W	Univ Rennes 1, CNRS, UEB, ENS Rennes,IRMAR, F-35170 Bruz, France	CNRS
199612400A	Ecole Cent Nantes, Lab Math Jean Leray, CNRS, UMR 6629, F-44321 Nantes, France	CNRS
199612400A	Univ Nantes, CNRS, Lab J Leray, UMR 6629, Nantes, France	CNRS
199612400A	CNRS, UMR 6629, Lab Math Jean Leroy, F-44322 Nantes, France	CNRS
199612400A	Univ Nantes, CNRS, LMJL, F-44300 Nantes, France	CNRS
199612400A	Univ Nantes, CNRS, Lab Math Jean Leray, UMR 6629, Nantes 03, France	CNRS
199612400A	Univ Nantes, CNRS, Lab Math Jean Leray, UMR 6629, F-44322 Nantes, France	CNRS
199612400A	Univ Nantes, CNRS, UMR 6629, Lab Math J Leray, F-44322 Nantes 03, France	CNRS
199617659S	CNRS, LMA, UPR 7051, F-13402 Marseille 20, France	CNRS
199617659S	Aix Marseille Univ, CNRS, Cent Marseille, LMA,UPR 7051, F-13402 Marseille 20, France	CNRS
199617659S	Aix Marseille Univ, CNRS, LMA, UPR 7051, F-13402 Marseille 20, France	CNRS
199617659S	Univ Aix Marseille, LMA, CNRS UPR 7051, F-13402 Marseille 20, France	CNRS
199617659S	Aix Marseille Univ, LMA, CNRS UPR 7051, Ctr Marseille, F-13402 Marseille 20, France	CNRS
199617659S	Aix Marseille Univ, CNRS, UPR 7051, LMA, F-13402 Marseille 20, France	CNRS
199617659S	Aix Marseille Univ, LMA UPR 7051 CNRS, Aix En Provence, France	CNRS
199617659S	Aix Marseille Univ, Centrale Marseille, CNRS, LMA,UPR 7051, F-13402 Marseille 20, France	CNRS
199617659S	Aix Marseille Univ, Cent Marseille, CNRS UPR 7051, LMA, F-13402 Marseille 20, France	CNRS
199617659S	Aix Marseille Univ, LMA UPR CNRS 7051, F-13402 Marseille, France	CNRS
199617659S	Univ Aix Marseille, CNRS UPR 7051, LMA, Marseille, France	CNRS
199617659S	Aix Marseille Univ, LMA, CNRS, UPR 7051, Marseille, France	CNRS
199617659S	Aix Marseille Univ, CNRS, UPR 7051, LMA, F-13625 Aix En Provence, France	CNRS
199617659S	Aix Marseille Univ, Cent Marseille, LMA, UPR CNRS 7051, F-13402 Marseille 20, France	CNRS
199617659S	Aix Marseille Univ, LMA, CNRS, UPR 7051, F-13402 Marseille 20, France	CNRS
199617659S	Aix Marseille Univ, UPR 7051, CNRS, LMA,Cent Marseille, F-13402 Marseille 20, France	CNRS
199617659S	CNRS, UPR 7051, LMA, Marseille 20, France	CNRS
199617659S	Aix Marseille Univ, CNRS, LMA, Cent Marseille,UPR 7051, F-13451 Marseille 20, France	CNRS
199617659S	Aix Marseille Univ, CNRS, LMA, Cent Marseille,UPR 7051, F-13402 Marseille 20, France	CNRS
199617659S	Aix Marseille Univ, Cent Marseille, UPR 7051, LMA,CNRS, Marseille 20, France	CNRS
199617659S	Cent Marseille, CNRS, UPR 7051, LMA, F-13402 Marseille 20, France	CNRS
199617659S	Aix Marseille Univ, Cent Marseille, CNRS, LMA,UPR 7051, F-13402 Marseille 20, France	CNRS
199617659S	Aix Marseille Univ, CNRS LMA UPR Site LCND 7051, F-13625 Aix En Provence, France	CNRS
199617659S	Aix Marseille Univ, LMA UPR CNRS 7051, Marseille, France	CNRS
199617659S	Aix Marseille Univ, CNRS UPR7051, LMA, F-13402 Marseille, France	CNRS
199617659S	Aix Marseille Univ, CNRS, UPR 7051, LMA, Marseille, France	CNRS
199617659S	Aix Marseille Univ, LMA, CNRS 7051, Cent Marseille, F-13402 Marseille 20, France	CNRS
199617659S	Aix Marseille Univ, Cent Marseille, UPR 7051, LMA,CNRS, F-13402 Marseille 20, France	CNRS
199617659S	Univ Aix Marseille, Cent Marseille, CNRS UPR 7051, LMA, Marseille, France	CNRS
199617659S	Aix Marseille Univ, CNRS, LMA, UPR7051, F-13402 Marseille, France	CNRS
199617659S	CNRS, LMA UPR 7051, Marseille, France	CNRS
199617659S	Aix Marseille Univ, CNRS, Cent Marseille, LMA,UPR 7051, Marseille, France	CNRS
199617659S	Aix Marseille Univ, CNRS, UPR 7051, LMA,Cent Marseille, F-13402 Marseille, France	CNRS
199617659S	LMA, CNRS UPR 7051, F-13402 Marseille 20, France	CNRS
199617659S	Aix Marseille Univ, CNRS, UPR 7051, LMA,Cent Marseille, Marseille, France	CNRS
199712570F	Univ Lorraine, Inst Elie Cartan Lorraine, UMR 7502, CNRS, F-54506 Vandoeuvre Les Nancy, France	CNRS
199712570F	CNRS, Inst Elie Cartan Lorraine, UMR 7502, F-54506 Vandoeuvre Les Nancy, France	CNRS
199712570F	CNRS, IECL, UMR 7502, F-54506 Vandoeuvre Les Nancy, France	CNRS
199712570F	CNRS, Inst Elie Cartan de Lorraine, UMR 7502, F-54506 Vandoeuvre Les Nancy, France	CNRS
199712570F	Inst Elie Cartan Lorraine, CNRS, UMR 7502, F-54506 Vandoeuvre Les Nancy, France	CNRS
199712570F	CNRS, IECN, UMR 7502, F-54506 Vandoeuvre Les Nancy, France	CNRS
199712570F	Inst Elie Caftan Lorraine, CNRS, UMR 7502, F-54506 Vandoeuvre Les Nancy, France	CNRS
199712570F	Univ Lorraine, Inst Elie Cartan, CNRS, UMR 7502, F-54506 Vandoeuvre Les Nancy, France	CNRS
199712570F	UdL, CNRS, INRIA, Inst Elie Cartan,UMR 7502, F-54506 Vandoeuvre Les Nancy, France	CNRS
199712570F	Univ Lorraine, Inst Elie Cartan, CNRS UMR 7502, INRIA,BIGS, F-54506 Vandoeuvre Les Nancy, France	CNRS
199712570F	Univ Lorraine, INRIA, CNRS, Inst Elie Cartan,UMR 7502, F-54506 Vandoeuvre Les Nancy, France	CNRS
199712570F	Univ Lorraine, CNRS, INRIA, Inst Elie Cartan Nancy,UMR 7502,Lab Math, F-54506 Vandoeuvre Les Nancy, France	CNRS
199712570F	Univ Lorraine, CNRS, Inst Elie Cartan Lorrain, UMR 7502, F-54506 Vandoeuvre Les Nancy, France	CNRS
199712570F	Univ Lorraine, CNRS, INRIA, IECL, F-54506 Vandoeuvre Les Nancy, France	CNRS
199712572H	CNRS UDS, Dept Chim Mat Inorgan, IPCMS, UMR 7504, Strasbourg 2, France	CNRS
199712572H	CNRS UdS, IPCMS, F-67034 Strasbourg, France	CNRS
199712572H	Univ Strasbourg, CNRS, NIE, UMR 7504, F-67034 Strasbourg 2, France	CNRS
199712572H	Univ Strasbourg, CNRS, Dept Chim Mat Inorgan, UMR 7504, F-67034 Strasbourg 2, France	CNRS
199712572H	CNRS, Uds, UMR 7504, IPCMS, F-67087 Strasbourg, France	CNRS
199712572H	Univ Strasbourg, CNRS, IPCMS, UMR 7504, F-67034 Strasbourg, France	CNRS
199712572H	Univ Strasbourg, IPCMS, CNRS, UMR 7504, F-67034 Strasbourg, France	CNRS
199712572H	Univ Strasbourg, IPCMS, CNRS, ECPM,UMR 7504, F-67034 Strasbourg 2, France	CNRS
199712572H	Univ Strasbourg, CNRS, UMR 7504, IPCMS, F-67034 Strasbourg 2, France	CNRS
199712572H	Univ Strasbourg, IPCMS, UMR CNRS 7504, F-67034 Strasbourg, France	CNRS
199712572H	CNRS UdS, IPCMS, UMR 7504, F-67034 Strasbourg, France	CNRS
199712572H	Univ Strasbourg, CNRS, IPCMS, F-67087 Strasbourg, France	CNRS
199712580S	Polymer Mat Strasbourg ECPM, ICPEES LCOSA, Ecole Chim, UMR CNRS 7575, F-67087 Strasbourg 2, France	CNRS
199712580S	CNRS, ICPEES, UMR 7515, Strasbourg, France	CNRS
199712580S	Univ Strasbourg, CNRS, ICPEES, F-67087 Strasbourg, France	CNRS
199712580S	ECPM, ICPEES, LCOSA, UMR CNRS 7515, F-67087 Strasbourg 02, France	CNRS
199712580S	ECPM, CNRS, LCOSA, ICPEES,UMR 7515, F-67087 Strasbourg 02, France	CNRS
199712581T	Univ Strasbourg, Inst Phys Globe Strasbourg, CNRS, UMR 7516, Strasbourg, France	CNRS
199712581T	Univ Strasbourg, CNRS, UMR 7516, Inst Phys Globe Strasbourg, F-67084 Strasbourg, France	CNRS
199712581T	Univ Strasbourg, IPGS UMR CNRS, Strasbourg, France	CNRS
199712581T	Univ Strasbourg, CNRS UMR 7516, Inst Phys Globe Strasbourg, Strasbourg, France	CNRS
199712581T	IPGS CNRS 7516, F-67084 Strasbourg, France	CNRS
199712586Y	Univ Lorraine, Univ Strasbourg, CNRS, BETA,UMR 7522, Nancy, France	CNRS
199712595H	Univ Paris 13, Sorbonne Paris Cite, Phys Lasers Lab, CNRS UMR 7538, F-93430 Villetaneuse, France	CNRS
199712595H	Univ Paris 13, Sorbonne Paris Cite, CNRS UMR 7538, Phys Lasers Lab, F-93430 Villetaneuse, France	CNRS
199712595H	Univ Paris 13, Lab Phys Lasers, Sorbonne Paris Cite, CNRS UMR 7538, F-93430 Villetaneuse, France	CNRS
199712595H	Univ Paris 13, Sorbonne Paris Cite, CNRS, Lab Phys Lasers,UMR 7538, F-93430 Villetaneuse, France	CNRS
199712595H	CNRS, LPL, UMR 7538, F-93430 Villetaneuse, France	CNRS
199712595H	Univ Paris 13, Sorbonne Paris Cite, CNRS, UMR 7538,Lab Phys Lasers, F-93430 Villetaneuse, Paris, France	CNRS
199712595H	CNRS, UMR 7538, LPL, F-93430 Villetaneuse, France	CNRS
199712595H	CNRS, UMR 7538, F-93430 Villetaneuse, France	CNRS
199712596J	Univ Paris 13, Sorbonne Paris Cite, LAGA, CNRS UMR 7539, F-93430 Villetaneuse, France	CNRS
199712596J	Univ Paris 13, CNRS, Sorbonne Paris Cite, LAGA,UMR 7539, F-93430 Villetaneuse, France	CNRS
199712596J	Univ Paris 13, CNRS, LAGA, Inst Galilee, F-93430 Villetaneuse, France	CNRS
199712596J	Univ Paris 13, CNRS, UMR LAGA 7539, F-93430 Villetaneuse, France	CNRS
199712602R	Univ Strasbourg, CNRS, UMR 7550, Observ Astron Strasbourg, F-67000 Strasbourg, France	CNRS
